date,open_price,high_price,low_price,close_price,volume,RSI_14,SMA_20,OBV,ATRr_14,rolling_mean_close_5,target_close
2024-01-02,90.1,91.48,89.73,90.71,10587600.0,,,10587600.0,,,91.65
2024-01-03,90.23,92.08,90.0,91.65,11929800.0,,,22517400.0,,,90.56
2024-01-04,91.94,91.94,90.0,90.56,12087400.0,,,10430000.0,,,90.9
2024-01-05,90.41,91.32,90.36,90.9,9084400.0,,,19514400.0,,,91.55
2024-01-08,91.55,91.94,91.0,91.55,11103700.0,,,30618100.0,,91.074,89.67
2024-01-09,91.05,91.1,89.6,89.67,11255100.0,,,19363000.0,,90.86600000000001,89.29
2024-01-10,89.82,89.82,88.88,89.29,15091600.0,,,4271400.0,,90.394,89.45
2024-01-11,89.39,89.78,88.69,89.45,9642200.0,,,13913600.0,,90.172,90.35
2024-01-12,89.65,90.83,89.65,90.35,11912800.0,,,25826400.0,,90.062,93.05
2024-01-16,90.29,93.09,89.46,93.05,16780900.0,,,42607300.0,,90.362,90.34
2024-01-17,92.58,93.76,90.1,90.34,15735200.0,,,26872100.0,,90.49600000000001,92.21
2024-01-18,90.66,92.51,90.41,92.21,12203200.0,,,39075300.0,,91.08000000000001,93.06
2024-01-19,92.32,93.58,91.63,93.06,19782400.0,,,58857700.0,,91.80199999999999,95.08
2024-01-22,92.87,95.23,92.87,95.08,15119400.0,,,73977100.0,,92.748,93.77
2024-01-23,95.43,95.89,93.18,93.77,11559400.0,60.1270841813711,,62417700.0,2.1144000988735523,92.892,93.5
2024-01-24,94.42,95.25,93.26,93.5,10454900.0,58.750400038871014,,51962800.0,2.1011570869989558,93.524,94.86
2024-01-25,93.92,94.94,93.75,94.86,8661600.0,63.30761893211368,,60624400.0,2.0331554663160647,94.054,95.36
2024-01-26,95.0,95.53,94.7,95.36,7812800.0,64.84534429085838,,68437200.0,1.913178140872915,94.514,97.49
2024-01-29,95.42,97.5,95.0,97.49,13422200.0,70.51436067888379,,81859400.0,1.970085438757331,94.99600000000001,96.94
