date,open_price,high_price,low_price,close_price,volume,RSI_14,SMA_20,OBV,ATRr_14,rolling_mean_close_5,target_close
2024-01-02,373.86,375.9,366.77,370.87,25258600.0,,,25258600.0,,,370.6
2024-01-03,369.01,373.26,368.51,370.6,23083500.0,,,2175100.0,,,367.94
2024-01-04,370.67,373.1,367.17,367.94,20901500.0,,,-18726400.0,,,367.75
2024-01-05,368.97,372.06,366.5,367.75,20987000.0,,,-39713400.0,,,374.69
2024-01-08,369.3,375.2,369.01,374.69,23134000.0,,,-16579400.0,,370.37,375.79
2024-01-09,372.01,375.99,371.19,375.79,20830000.0,,,4250600.0,,371.35400000000004,382.77
2024-01-10,376.37,384.17,376.32,382.77,25514200.0,,,29764800.0,,373.788,384.63
2024-01-11,386.0,390.68,380.38,384.63,27850800.0,,,57615600.0,,377.126,388.47
2024-01-12,385.49,388.68,384.65,388.47,21645700.0,,,79261300.0,,381.27,390.27
2024-01-16,393.66,394.03,387.62,390.27,27202300.0,,,106463600.0,,384.38599999999997,389.47
2024-01-17,387.98,390.11,384.81,389.47,22234100.0,,,84229500.0,,387.12199999999996,393.87
2024-01-18,391.72,393.99,390.12,393.87,23392100.0,,,107621600.0,,389.342,398.67
2024-01-19,395.76,398.67,393.5,398.67,29272000.0,,,136893600.0,,392.15,396.51
2024-01-22,400.02,400.62,393.59,396.51,27016900.0,,,109876700.0,,393.758,398.9
2024-01-23,395.75,399.38,393.93,398.9,20525900.0,85.34149792598704,,130402600.0,6.042829161383141,395.48400000000004,402.56
2024-01-24,401.54,405.63,400.45,402.56,24867000.0,87.24107721841126,,155269600.0,6.115981929412124,398.102,404.87
2024-01-25,404.32,407.01,402.53,404.87,21021200.0,88.27392447162714,,176290800.0,5.947717193548949,400.302,403.93
2024-01-26,404.37,406.17,402.43,403.93,17803300.0,85.24969002728095,,158487500.0,5.727566089529217,401.354,409.72
2024-01-29,406.06,409.98,404.33,409.72,24510200.0,87.98108075768279,,182997700.0,5.758834254315193,403.996,408.59
2024-01-30,412.26,413.05,406.45,408.59,33477600.0,84.6851760840583,389.0435,149520100.0,5.838374651428282,405.934,397.58
2024-01-31,406.96,415.32,397.21,397.58,47871100.0,60.78996774134171,390.379,101649000.0,6.972541522330977,404.938,403.78
