date,open_price,high_price,low_price,close_price,volume,RSI_14,SMA_20,OBV,ATRr_14,rolling_mean_close_5,target_close
2024-01-02,187.15,188.44,183.89,185.64,82488700.0,,,82488700.0,,,184.25
2024-01-03,184.22,185.88,183.43,184.25,58414500.0,,,24074200.0,,,181.91
2024-01-04,182.15,183.09,180.88,181.91,71983600.0,,,-47909400.0,,,181.18
2024-01-05,181.99,182.76,180.17,181.18,62303300.0,,,-110212700.0,,,185.56
2024-01-08,182.09,185.6,181.5,185.56,59144500.0,,,-51068200.0,,183.708,185.14
2024-01-09,183.92,185.15,182.73,185.14,42841800.0,,,-93910000.0,,183.608,186.19
2024-01-10,184.35,186.4,183.92,186.19,46792900.0,,,-47117100.0,,183.996,185.59
2024-01-11,186.54,187.05,183.62,185.59,49128400.0,,,-96245500.0,,184.73200000000003,185.92
2024-01-12,186.06,186.74,185.19,185.92,40444700.0,,,-55800800.0,,185.68,183.63
2024-01-16,182.16,184.26,180.93,183.63,65603000.0,,,-121403800.0,,185.294,182.68
2024-01-17,181.27,182.93,180.3,182.68,47317400.0,,,-168721200.0,,184.802,188.63
2024-01-18,186.09,189.14,185.83,188.63,78005800.0,,,-90715400.0,,185.29,191.56
2024-01-19,189.33,191.95,188.82,191.56,68741000.0,,,-21974400.0,,186.48399999999998,193.89
2024-01-22,192.3,195.33,192.26,193.89,60133900.0,,,38159500.0,,188.078,195.18
2024-01-23,195.02,195.75,193.83,195.18,42355600.0,74.451002276885,,80515100.0,3.4081737774711045,190.38799999999998,194.5
2024-01-24,195.42,196.38,194.34,194.5,53631300.0,71.58609173442298,,26883800.0,3.262524845150094,192.752,194.17
2024-01-25,195.22,196.27,193.11,194.17,54822100.0,70.1748171605633,,-27938300.0,3.2519799145011388,193.85999999999999,192.42
2024-01-26,194.27,194.76,191.94,192.42,44594000.0,63.073504730776975,,-72532300.0,3.2089033576986346,194.03199999999998,191.73
2024-01-29,192.01,192.2,189.58,191.73,47145600.0,60.474968899673875,,-119677900.0,3.1731287986214607,193.6,188.04
