date,open_price,high_price,low_price,close_price,volume,RSI_14,SMA_20,OBV,ATRr_14,rolling_mean_close_5,target_close
2024-01-02,58.8,59.88,58.67,59.82,16322600.0,,,16322600.0,,,59.96
2024-01-03,59.93,60.2,59.76,59.96,14830600.0,,,31153200.0,,,59.76
2024-01-04,60.05,60.26,59.66,59.76,12912900.0,,,18240300.0,,,59.67
2024-01-05,59.8,59.95,59.09,59.67,10411400.0,,,7828900.0,,,60.11
2024-01-08,59.68,60.18,59.42,60.11,11554600.0,,,19383500.0,,59.864,60.0
2024-01-09,59.99,60.14,59.62,60.0,10493700.0,,,8889800.0,,59.9,60.2
2024-01-10,60.22,60.41,59.98,60.2,12258000.0,,,21147800.0,,59.948,59.81
2024-01-11,60.25,60.26,59.69,59.81,13754200.0,,,7393600.0,,59.958000000000006,60.39
2024-01-12,60.08,60.46,59.87,60.39,13216900.0,,,20610500.0,,60.102,59.99
2024-01-16,60.39,60.43,59.85,59.99,11826900.0,,,8783600.0,,60.077999999999996,59.99
2024-01-17,59.86,60.21,59.82,59.99,8982100.0,,,8783600.0,,60.076,60.16
2024-01-18,59.69,60.23,59.53,60.16,10397700.0,,,19181300.0,,60.068,59.83
2024-01-19,60.26,60.28,59.64,59.83,14193100.0,,,4988200.0,,60.072,59.57
2024-01-22,59.76,60.07,59.44,59.57,14314300.0,,,-9326100.0,,59.908,59.85
2024-01-23,59.53,60.0,59.46,59.85,14481600.0,48.92289921616338,,5155500.0,0.591361155833808,59.879999999999995,58.91
2024-01-24,59.8,59.81,58.89,58.91,16370500.0,34.29928037889536,,-11215000.0,0.6306046020604267,59.664,59.16
2024-01-25,59.01,59.17,58.66,59.16,14899700.0,39.48053122231294,,3684700.0,0.6182001242696037,59.464,59.37
2024-01-26,59.25,59.49,59.13,59.37,13025100.0,43.51045245662187,,16709800.0,0.5924526949421139,59.372,59.73
2024-01-29,59.34,59.79,59.17,59.73,14547100.0,49.69465204206361,,31256900.0,0.5951241064965058,59.403999999999996,59.9
2024-01-30,59.85,60.02,59.45,59.9,22061500.0,52.34761477329235,59.809000000000005,53318400.0,0.592748378029084,59.414,59.49
2024-01-31,60.1,60.45,59.29,59.49,22837000.0,46.04119088211806,59.792500000000004,30481400.0,0.6451748479408399,59.529999999999994,60.98
2024-02-01,59.57,61.01,59.36,60.98,15870900.0,63.33051907880338,59.843500000000006,46352300.0,0.7361331751517087,59.89399999999999,60.54
2024-02-02,60.82,60.87,60.23,60.54,17543500.0,57.47401572654172,59.88250000000001,28808800.0,0.737364904215796,60.128,60.04
2024-02-05,60.38,60.38,59.88,60.04,12759600.0,51.6309898332935,59.900999999999996,16049200.0,0.7306104278613236,60.19,59.94
2024-02-06,59.96,60.05,59.68,59.94,12775200.0,50.524660689605845,59.892500000000005,3274000.0,0.6996188024579739,60.198,59.99
2024-02-07,60.07,60.21,59.94,59.99,10259900.0,51.08899335686314,59.89200000000001,13533900.0,0.6632246591439166,60.298,59.83
2024-02-08,59.89,59.97,59.41,59.83,12874800.0,49.156739682813765,59.8735,659100.0,0.6562669057630953,60.068,59.56
2024-02-09,59.47,59.58,59.03,59.56,15235300.0,45.995342116749164,59.861000000000004,-14576200.0,0.6681387672483465,59.872,59.7
2024-02-12,59.66,59.76,58.96,59.7,13516800.0,47.86754610760528,59.826499999999996,-1059400.0,0.6789097630865729,59.803999999999995,59.35
2024-02-13,59.5,60.66,58.79,59.35,24195700.0,43.78120729321576,59.79449999999999,-25255100.0,0.7752154778173487,59.686,59.29
2024-02-14,59.17,59.59,59.04,59.29,15872500.0,43.101913496065265,59.7595,-41127600.0,0.7571757111664906,59.54600000000001,59.4
2024-02-15,59.42,59.59,59.13,59.4,13695800.0,44.79309203027348,59.721500000000006,-27431800.0,0.7335765666435798,59.46,59.39
2024-02-16,59.35,59.62,58.96,59.39,13943300.0,44.663125087813455,59.6995,-41375100.0,0.7277800201182879,59.426,60.7
2024-02-20,59.6,60.84,59.51,60.7,18339300.0,60.73544369084477,59.75599999999999,-23035800.0,0.7842629502548395,59.626,61.24
2024-02-21,60.99,61.28,60.83,61.24,14378300.0,65.21982756391827,59.8255,-8657500.0,0.7683956421218117,60.004,61.15
2024-02-22,60.99,61.25,60.5,61.15,12982800.0,63.90973335659416,59.9375,-21640300.0,0.7669755328770134,60.376,61.2
2024-02-23,61.09,61.62,61.0,61.2,13612900.0,64.3383182687881,60.0395,-8027400.0,0.7556943832990587,60.736000000000004,60.71
2024-02-26,61.24,61.27,60.66,60.71,10336100.0,57.17280878349921,60.106500000000004,-18363500.0,0.7445708208094021,61.0,60.34
2024-02-27,60.54,60.78,60.12,60.34,9931100.0,52.42487050864024,60.137,-28294600.0,0.7381455693014982,60.928,60.4
2024-02-28,60.37,60.49,60.06,60.4,8076500.0,53.104976349236594,60.162,-20218100.0,0.7148402216923805,60.760000000000005,60.02
2024-02-29,60.35,60.64,59.9,60.02,18152700.0,48.38713370379926,60.1885,-38370800.0,0.7167351169728257,60.534000000000006,59.53
